transaction_id,customer_id,amount,currency,transaction_date,product_id
t0064,cust422,214.49,USD,11/09/2025,p537
t0065,cust215,159.87,USD,30/08/2025,p223
t0066,cust424,255.02,USD,07/08/2025,p786
t0067,cust217,179.19,USD,09/08/2025,p590
t0068,cust127,20.15,USD,22/08/2025,p877
t0069,cust446,338.5,USD,07/09/2025,p743
t0070,cust188,223.35,USD,05/09/2025,p295
t0071,cust320,324.57,USD,20/09/2025,p351
t0072,cust491,135.49,USD,16/09/2025,p199
t0073,cust472,75.64,USD,04/09/2025,p713
t0074,cust458,442.29,USD,12/09/2025,p833
t0075,cust137,368.2,USD,12/08/2025,p615
t0077,cust434,389.78,USD,17/09/2025,p687
t0078,cust227,345.98,USD,02/08/2025,p317
t0079,cust102,7.79,USD,27/08/2025,p539
t0080,cust498,712.29,USD,18/08/2025,p354
t0081,cust074,64.04,USD,05/09/2025,p507
t0083,cust052,229.63,USD,20/08/2025,p378
t0084,cust277,271.83,USD,25/08/2025,p606
t0085,cust151,158.33,USD,24/08/2025,p812
t0086,cust065,164.95,USD,31/08/2025,p452
t0087,cust096,66.26,USD,20/09/2025,p449
t0088,cust124,942.62,USD,21/08/2025,p230
t0090,cust115,29.93,USD,22/08/2025,p806
t0091,cust440,904.3,USD,11/08/2025,p443
t0092,cust221,45.76,USD,19/08/2025,p266
t0093,cust222,24.58,USD,11/08/2025,p563
t0095,cust405,94.19,USD,27/08/2025,p524
t0098,cust191,450.74,USD,20/09/2025,p608
t0099,cust197,385.46,USD,06/08/2025,p409
t0100,cust259,375.03,USD,10/09/2025,p422
t0101,cust335,96.5,USD,02/08/2025,p414
t0102,cust189,53.72,USD,31/08/2025,p211
t0103,cust403,119.16,USD,07/08/2025,p834
t0104,cust213,388.56,USD,12/08/2025,p109
t0105,cust089,18.85,USD,20/08/2025,p514
t0106,cust271,343.93,USD,14/08/2025,p104
t0107,cust127,119.38,USD,20/08/2025,p550
t0110,cust110,358.63,USD,10/09/2025,p834
t0112,cust268,75.77,USD,06/08/2025,p898
t0113,cust124,87.71,USD,02/08/2025,p883
t0114,cust203,244.18,USD,05/08/2025,p425
t0116,cust296,8.11,USD,02/09/2025,p131
t0118,cust317,114.83,USD,21/09/2025,p593
t0119,cust479,180.21,USD,03/09/2025,p199
t0120,cust425,389.67,USD,01/08/2025,p102
t0121,cust438,451.48,USD,07/08/2025,p414
t0122,cust077,322.95,USD,15/09/2025,p169
t0123,cust473,128.11,USD,23/08/2025,p587
t0124,cust337,313.47,USD,12/09/2025,p730
t0125,cust424,2.18,USD,24/08/2025,p328
t0126,cust379,369.69,USD,20/09/2025,p218
t0127,cust096,392.16,USD,12/09/2025,p102
t0128,cust029,97.76,USD,26/08/2025,p771
t0129,cust134,12.54,USD,17/08/2025,p243
t0130,cust495,74.17,USD,25/08/2025,p630
t0131,cust414,94.04,USD,16/08/2025,p641
t0132,cust171,440.86,USD,03/09/2025,p239
t0133,cust287,341.39,USD,06/08/2025,p708
t0134,cust274,498.16,USD,31/08/2025,p513
t0135,cust416,201.24,USD,11/09/2025,p240
t0136,cust083,1089.96,USD,11/09/2025,p782
t0137,cust254,253.4,USD,02/08/2025,p854
t0138,cust129,250.34,USD,11/08/2025,p136
t0139,cust056,351.6,USD,28/08/2025,p170
t0140,cust197,306.18,USD,06/09/2025,p802
t0141,cust198,332.09,USD,28/08/2025,p404
t0143,cust435,164.16,USD,29/08/2025,p178
t0144,cust058,240.92,USD,18/08/2025,p205
t0147,cust485,119.69,USD,09/08/2025,p144
t0148,cust344,467.64,USD,22/08/2025,p501
t0149,cust045,261.08,USD,12/08/2025,p618
t0150,cust436,406.45,USD,02/09/2025,p706
t0151,cust044,238.63,USD,31/08/2025,p806
t0152,cust255,962.17,USD,14/08/2025,p256
t0153,cust483,467.69,USD,31/08/2025,p864
t0154,cust400,366.05,USD,15/08/2025,p553
t0155,cust396,302.67,USD,19/08/2025,p527
t0156,cust416,838.31,USD,12/08/2025,p652
t0157,cust478,287.91,USD,03/09/2025,p848
t0158,cust126,85.74,USD,22/09/2025,p800
t0159,cust296,362.79,USD,21/08/2025,p522
t0160,cust047,416.6,USD,01/08/2025,p167
t0162,cust435,449.22,USD,09/09/2025,p148
t0163,cust222,269.83,USD,08/09/2025,p451
t0164,cust096,290.12,USD,02/09/2025,p632
t0165,cust180,236.52,USD,07/09/2025,p722
t0166,cust480,408.77,USD,22/09/2025,p669
t0167,cust097,106.68,USD,22/09/2025,p266
t0168,cust121,326.8,USD,17/08/2025,p585
t0169,cust378,185.04,USD,10/08/2025,p461
t0170,cust144,400.3,USD,26/08/2025,p217
t0171,cust394,78.11,USD,09/08/2025,p416
t0172,cust202,257.98,USD,02/09/2025,p701
t0173,cust234,85.27,USD,14/09/2025,p473
t0174,cust420,398.55,USD,14/09/2025,p391
t0175,cust391,312.46,USD,29/08/2025,p851
t0176,cust122,66.37,USD,22/08/2025,p322
t0178,cust395,421.71,USD,13/08/2025,p394
t0179,cust253,291.1,USD,02/09/2025,p174
t0180,cust349,259.34,USD,15/08/2025,p731
t0181,cust038,41.73,USD,03/08/2025,p408
t0182,cust411,460.98,USD,18/09/2025,p171
t0183,cust016,352.31,USD,08/08/2025,p643
t0184,cust181,155.32,USD,28/08/2025,p660
t0186,cust351,1413.82,USD,18/08/2025,p262
t0187,cust193,99.79,USD,20/09/2025,p268
t0189,cust038,313.14,USD,22/08/2025,p317
t0191,cust359,429.32,USD,06/08/2025,p507
t0192,cust400,518.12,USD,21/09/2025,p513
t0193,cust161,21.04,USD,03/09/2025,p612
t0194,cust442,415.93,USD,23/08/2025,p549
t0195,cust268,111.49,USD,12/08/2025,p259
t0196,cust098,391.0,USD,19/08/2025,p156
t0197,cust295,415.46,USD,09/09/2025,p178
t0198,cust076,89.94,USD,17/08/2025,p251
t0199,cust123,419.29,USD,22/08/2025,p116
t0200,cust260,263.72,USD,16/09/2025,p464
t0201,cust166,314.8,USD,20/09/2025,p724
t0202,cust425,260.91,USD,05/08/2025,p487
t0203,cust456,79.49,USD,14/09/2025,p216
t0204,cust165,377.17,USD,07/09/2025,p309
t0205,cust258,121.16,USD,11/08/2025,p717
t0206,cust486,238.88,USD,02/08/2025,p752
t0207,cust418,29.1,USD,09/09/2025,p425
t0208,cust005,310.45,USD,29/08/2025,p149
t0210,cust455,417.12,USD,24/09/2025,p759
t0211,cust181,293.26,USD,12/08/2025,p326
t0212,cust154,280.35,USD,10/09/2025,p191
t0213,cust448,133.19,USD,01/08/2025,p561
t0214,cust255,135.0,USD,04/09/2025,p812
t0215,cust471,300.42,USD,23/09/2025,p868
t0216,cust286,279.85,USD,16/09/2025,p759
t0217,cust159,350.06,USD,10/09/2025,p433
t0218,cust468,315.63,USD,03/08/2025,p262
t0219,cust380,84.29,USD,25/08/2025,p405
t0220,cust203,412.31,USD,12/08/2025,p508
t0221,cust029,476.21,USD,07/08/2025,p174
t0222,cust132,496.03,USD,14/09/2025,p890
t0223,cust336,311.17,USD,01/08/2025,p296
t0224,cust069,351.26,USD,15/08/2025,p311
t0225,cust283,17.62,USD,25/08/2025,p711
t0226,cust303,496.05,USD,08/09/2025,p120
t0227,cust133,692.39,USD,24/09/2025,p246
t0228,cust495,485.88,USD,19/08/2025,p231
t0229,cust079,445.59,USD,08/09/2025,p428
t0230,cust430,354.27,USD,23/08/2025,p824
t0231,cust238,148.39,USD,27/08/2025,p155
t0232,cust400,224.8,USD,19/08/2025,p818
t0233,cust057,313.76,USD,29/08/2025,p162
t0234,cust375,283.97,USD,10/09/2025,p193
t0235,cust230,473.7,USD,15/09/2025,p298
t0236,cust197,47.52,USD,24/08/2025,p174
t0238,cust081,179.07,USD,10/09/2025,p138
t0239,cust399,434.86,USD,10/08/2025,p169
t0240,cust129,317.14,USD,09/08/2025,p641
t0242,cust377,420.62,USD,26/08/2025,p379
t0243,cust253,178.75,USD,25/08/2025,p373
t0244,cust062,428.69,USD,02/09/2025,p586
t0245,cust425,260.82,USD,20/09/2025,p481
t0246,cust289,322.27,USD,24/08/2025,p119
t0247,cust071,463.73,USD,07/09/2025,p224
t0248,cust469,4.58,USD,24/08/2025,p308
t0250,cust373,1286.15,USD,23/08/2025,p838
t0251,cust360,899.88,USD,06/08/2025,p558
t0252,cust448,1182.26,USD,20/08/2025,p744
t0253,cust236,410.37,USD,10/09/2025,p563
t0254,cust047,57.36,USD,08/08/2025,p308
t0255,cust376,199.42,USD,30/08/2025,p127
t0256,cust492,142.14,USD,11/08/2025,p673
t0257,cust028,251.21,USD,15/09/2025,p442
t0258,cust331,279.33,USD,08/08/2025,p684
t0259,cust222,104.14,USD,23/09/2025,p348
t0260,cust062,490.97,USD,09/09/2025,p117
t0261,cust080,27.38,USD,03/09/2025,p735
t0262,cust400,169.29,USD,18/09/2025,p775
t0263,cust220,173.68,USD,23/08/2025,p240
t0264,cust432,273.59,USD,29/08/2025,p142
t0265,cust372,198.98,USD,24/09/2025,p565
t0266,cust354,1382.57,USD,08/09/2025,p374
t0267,cust128,273.47,USD,22/08/2025,p579
t0268,cust048,948.75,USD,25/08/2025,p490
t0269,cust421,491.83,USD,22/09/2025,p517
t0270,cust282,49.78,USD,02/08/2025,p236
t0271,cust375,313.78,USD,25/08/2025,p114
t0272,cust258,278.88,USD,04/08/2025,p631
t0273,cust330,127.59,USD,14/09/2025,p234
t0274,cust214,396.18,USD,23/09/2025,p289
t0275,cust297,105.72,USD,11/09/2025,p576
t0276,cust214,618.78,USD,14/08/2025,p223
t0278,cust009,111.51,USD,05/08/2025,p797
t0279,cust124,41.94,USD,13/09/2025,p743
t0280,cust034,151.15,USD,18/09/2025,p307
t0281,cust368,416.57,USD,02/08/2025,p799
t0282,cust309,472.98,USD,22/08/2025,p216
t0285,cust219,323.4,USD,03/08/2025,p481
t0287,cust186,411.84,USD,27/08/2025,p171
t0288,cust020,143.86,USD,01/08/2025,p237
t0289,cust282,59.76,USD,18/09/2025,p748
t0290,cust358,62.71,USD,31/08/2025,p761
t0291,cust366,348.38,USD,20/09/2025,p686
t0292,cust445,19.79,USD,07/09/2025,p233
t0294,cust033,173.87,USD,06/08/2025,p882
t0295,cust236,306.63,USD,20/09/2025,p397
t0296,cust141,268.31,USD,15/09/2025,p584
t0297,cust412,345.47,USD,18/09/2025,p849
t0298,cust432,324.37,USD,12/09/2025,p832
t0299,cust073,68.97,USD,24/09/2025,p678
t0300,cust130,247.45,USD,28/08/2025,p873
t0301,cust471,131.64,USD,08/09/2025,p351
t0302,cust030,111.84,USD,03/09/2025,p658
t0304,cust027,339.61,USD,24/09/2025,p283
t0305,cust331,66.51,USD,15/08/2025,p474
t0306,cust080,837.22,USD,14/09/2025,p655
t0307,cust492,60.05,USD,14/09/2025,p737
t0308,cust492,495.68,USD,16/08/2025,p264
t0309,cust245,340.63,USD,25/08/2025,p317
t0310,cust483,1397.09,USD,08/08/2025,p729
t0311,cust373,309.69,USD,16/09/2025,p304
t0312,cust313,276.9,USD,15/09/2025,p356
t0313,cust073,131.73,USD,02/08/2025,p655
t0314,cust355,415.96,USD,14/08/2025,p214
t0315,cust344,396.87,USD,05/08/2025,p523
t0316,cust245,208.74,USD,06/08/2025,p411
t0317,cust276,230.05,USD,31/08/2025,p771
t0318,cust266,157.8,USD,09/08/2025,p565
t0319,cust433,206.64,USD,24/08/2025,p831
t0320,cust360,268.47,USD,23/08/2025,p750
t0321,cust161,283.35,USD,11/08/2025,p496
t0322,cust465,212.74,USD,27/08/2025,p816
t0323,cust161,1292.15,USD,15/09/2025,p510
t0324,cust194,378.95,USD,08/08/2025,p576
t0325,cust445,395.17,USD,02/08/2025,p370
t0326,cust148,59.61,USD,04/09/2025,p868
t0327,cust334,183.03,USD,19/09/2025,p749
t0328,cust162,267.57,USD,03/08/2025,p833
t0329,cust495,205.14,USD,13/09/2025,p542
t0330,cust393,291.15,USD,27/08/2025,p177
t0331,cust419,197.85,USD,03/08/2025,p829
t0332,cust218,79.75,USD,21/09/2025,p692
t0333,cust026,257.55,USD,30/08/2025,p564
t0335,cust089,389.89,USD,08/08/2025,p753
t0336,cust194,118.36,USD,11/08/2025,p471
t0337,cust372,255.1,USD,15/09/2025,p869
t0338,cust440,218.83,USD,23/09/2025,p849
t0340,cust182,352.81,USD,31/08/2025,p235
t0341,cust102,485.82,USD,17/08/2025,p263
t0342,cust343,399.66,USD,02/09/2025,p310
t0343,cust084,413.76,USD,18/09/2025,p434
t0344,cust017,24.56,USD,17/09/2025,p757
t0346,cust161,273.37,USD,05/09/2025,p347
t0347,cust471,428.4,USD,13/08/2025,p862
t0348,cust395,68.01,USD,18/08/2025,p230
t0349,cust437,71.95,USD,08/09/2025,p283
t0350,cust011,80.27,USD,18/08/2025,p407
t0352,cust039,419.32,USD,23/09/2025,p739
t0353,cust286,254.06,USD,14/08/2025,p876
t0354,cust012,231.74,USD,16/08/2025,p825
t0355,cust433,98.06,USD,25/08/2025,p691
t0356,cust126,66.22,USD,24/08/2025,p786
t0357,cust080,77.01,USD,09/08/2025,p815
t0358,cust456,342.31,USD,14/08/2025,p536
t0359,cust023,26.07,USD,06/08/2025,p164
t0360,cust064,373.62,USD,16/08/2025,p701
t0361,cust253,174.6,USD,05/09/2025,p217
t0362,cust260,143.2,USD,22/09/2025,p754
t0363,cust161,337.22,USD,24/09/2025,p120
t0364,cust445,1023.51,USD,31/08/2025,p216
t0365,cust342,382.21,USD,27/08/2025,p203
t0366,cust036,322.5,USD,25/08/2025,p392
t0367,cust210,248.61,USD,05/08/2025,p553
t0368,cust183,460.42,USD,17/09/2025,p482
t0369,cust472,1.9,USD,30/08/2025,p630
t0370,cust019,408.53,USD,04/08/2025,p802
t0371,cust493,240.7,USD,24/08/2025,p240
t0372,cust263,70.09,USD,10/09/2025,p691
t0373,cust284,1.93,USD,13/09/2025,p884
t0374,cust434,28.03,USD,20/08/2025,p576
t0375,cust376,279.86,USD,19/09/2025,p593
t0377,cust312,325.0,USD,21/08/2025,p270
t0378,cust219,41.72,USD,13/08/2025,p283
t0380,cust199,53.82,USD,25/08/2025,p717
t0381,cust022,118.97,USD,20/09/2025,p573
t0384,cust371,298.9,USD,21/09/2025,p271
t0385,cust446,238.85,USD,07/08/2025,p482
t0386,cust353,275.26,USD,25/08/2025,p389
t0387,cust366,7.68,USD,27/08/2025,p122
t0388,cust188,491.94,USD,26/08/2025,p657
t0389,cust207,105.26,USD,05/09/2025,p779
t0390,cust424,494.76,USD,11/09/2025,p137
t0391,cust496,188.95,USD,04/09/2025,p708
t0392,cust435,125.32,USD,23/09/2025,p774
t0393,cust472,368.64,USD,11/08/2025,p455
t0394,cust329,332.47,USD,27/08/2025,p140
t0395,cust344,219.67,USD,06/09/2025,p672
t0396,cust174,243.56,USD,19/09/2025,p240
t0397,cust357,268.24,USD,30/08/2025,p303
t0398,cust050,80.01,USD,08/08/2025,p433
t0399,cust253,226.08,USD,07/08/2025,p599
t0400,cust065,99.12,USD,02/08/2025,p615
t0401,cust123,243.16,USD,04/09/2025,p522
t0402,cust475,278.16,USD,31/08/2025,p123
t0403,cust173,318.32,USD,05/08/2025,p589
t0404,cust283,264.09,USD,10/09/2025,p820
t0405,cust442,212.91,USD,10/08/2025,p519
t0406,cust087,1216.7,USD,15/08/2025,p433
t0407,cust189,148.65,USD,28/08/2025,p389
t0408,cust220,468.85,USD,08/08/2025,p463
t0409,cust108,1102.11,USD,09/09/2025,p578
t0410,cust412,85.23,USD,05/08/2025,p580
t0411,cust236,292.57,USD,24/09/2025,p703
t0412,cust469,334.04,USD,05/09/2025,p398
t0414,cust492,423.59,USD,07/08/2025,p639
t0415,cust384,110.0,USD,22/09/2025,p121
t0416,cust068,335.58,USD,21/08/2025,p785
t0417,cust339,333.33,USD,12/09/2025,p128
t0418,cust446,12.86,USD,20/09/2025,p717
t0419,cust439,95.77,USD,09/08/2025,p432
t0420,cust318,212.61,USD,07/09/2025,p856
t0421,cust059,480.74,USD,27/08/2025,p719
t0422,cust424,146.28,USD,02/08/2025,p827
t0423,cust155,438.75,USD,07/09/2025,p746
t0424,cust212,281.08,USD,03/08/2025,p824
t0425,cust035,80.3,USD,01/08/2025,p225
t0426,cust213,54.11,USD,15/09/2025,p857
t0427,cust268,81.74,USD,30/08/2025,p160
t0429,cust013,252.44,USD,07/08/2025,p344
t0430,cust133,132.29,USD,04/09/2025,p848
t0431,cust380,376.66,USD,21/08/2025,p783
t0433,cust460,466.36,USD,17/09/2025,p679
t0434,cust378,51.75,USD,09/08/2025,p391
t0435,cust044,260.21,USD,06/08/2025,p874
t0436,cust091,258.07,USD,10/09/2025,p886
t0437,cust078,340.78,USD,19/09/2025,p130
t0439,cust176,148.53,USD,24/08/2025,p785
t0440,cust105,241.05,USD,28/08/2025,p752
t0441,cust153,390.76,USD,11/08/2025,p373
t0442,cust200,153.66,USD,05/09/2025,p613
t0443,cust443,286.24,USD,03/08/2025,p463
t0445,cust395,80.33,USD,24/08/2025,p873
t0446,cust253,582.55,USD,26/08/2025,p255
t0447,cust132,379.27,USD,31/08/2025,p795
t0448,cust282,191.04,USD,03/09/2025,p418
t0449,cust112,32.31,USD,20/09/2025,p330
t0450,cust131,142.37,USD,11/08/2025,p753
t0451,cust095,401.27,USD,01/09/2025,p677
t0452,cust393,95.09,USD,31/08/2025,p152
t0453,cust482,343.0,USD,06/08/2025,p724
t0454,cust048,150.06,USD,24/09/2025,p735
t0455,cust261,216.27,USD,23/09/2025,p514
t0456,cust162,110.34,USD,07/08/2025,p101
t0457,cust240,431.52,USD,24/08/2025,p468
t0458,cust135,143.87,USD,29/08/2025,p660
t0460,cust111,129.36,USD,07/08/2025,p309
t0461,cust002,1062.23,USD,05/08/2025,p832
t0462,cust472,417.22,USD,19/09/2025,p723
t0463,cust014,75.53,USD,05/08/2025,p559
t0464,cust205,178.11,USD,07/08/2025,p797
t0465,cust128,330.78,USD,23/09/2025,p885
t0466,cust001,431.37,USD,08/09/2025,p676
t0467,cust028,123.43,USD,22/08/2025,p633
t0469,cust479,489.91,USD,24/08/2025,p635
t0470,cust440,286.27,USD,13/08/2025,p552
t0471,cust109,227.51,USD,01/08/2025,p858
t0472,cust002,277.33,USD,06/08/2025,p197
t0473,cust485,279.55,USD,14/08/2025,p105
t0474,cust100,1488.63,USD,06/09/2025,p117
t0475,cust211,419.49,USD,04/09/2025,p735
t0476,cust350,41.71,USD,02/08/2025,p828
t0477,cust032,2.15,USD,01/09/2025,p337
t0478,cust326,11.31,USD,22/08/2025,p824
t0479,cust447,229.93,USD,23/09/2025,p803
t0480,cust481,419.43,USD,16/09/2025,p244
t0481,cust338,183.56,USD,06/08/2025,p333
t0482,cust422,383.44,USD,09/08/2025,p651
t0483,cust488,478.33,USD,11/08/2025,p721
t0484,cust148,486.75,USD,26/08/2025,p239
t0486,cust108,460.35,USD,01/08/2025,p494
t0487,cust252,76.03,USD,08/09/2025,p163
t0488,cust167,435.64,USD,13/08/2025,p261
t0489,cust439,199.27,USD,28/08/2025,p166
t0490,cust210,158.48,USD,03/09/2025,p443
t0491,cust490,314.06,USD,07/09/2025,p189
t0492,cust167,420.01,USD,12/09/2025,p881
t0493,cust339,60.53,USD,08/08/2025,p203
t0494,cust189,377.05,USD,03/09/2025,p762
t0495,cust253,266.96,USD,24/09/2025,p442
t0496,cust294,132.96,USD,01/08/2025,p679
t0498,cust411,242.6,USD,06/09/2025,p695
t0499,cust471,51.54,USD,10/08/2025,p142
t0500,cust250,26.3,USD,11/09/2025,p753
t0501,cust010,337.68,USD,08/09/2025,p361
t0502,cust372,242.73,USD,25/08/2025,p259
t0503,cust128,380.77,USD,17/09/2025,p553
t0504,cust069,186.49,USD,10/09/2025,p667
t0505,cust028,4.59,USD,17/08/2025,p509
t0506,cust245,380.81,USD,21/08/2025,p663
t0508,cust243,206.61,USD,24/08/2025,p800
t0509,cust408,169.1,USD,10/09/2025,p136
t0510,cust119,498.86,USD,16/09/2025,p636
t0511,cust396,146.47,USD,08/08/2025,p789
t0512,cust023,1496.58,USD,06/08/2025,p874
t0513,cust054,136.02,USD,17/08/2025,p440
t0514,cust013,294.05,USD,17/09/2025,p390
t0515,cust170,232.37,USD,17/08/2025,p621
t0516,cust067,44.98,USD,19/09/2025,p536
t0517,cust482,13.51,USD,24/09/2025,p783
t0518,cust244,1085.47,USD,19/09/2025,p548
t0519,cust070,116.01,USD,17/08/2025,p895
t0520,cust072,2.81,USD,07/09/2025,p146
t0521,cust256,260.97,USD,12/09/2025,p461
t0522,cust258,96.76,USD,11/08/2025,p724
t0523,cust451,488.12,USD,30/08/2025,p173
t0524,cust272,277.76,USD,29/08/2025,p713
t0525,cust148,1389.02,USD,14/08/2025,p230
t0526,cust431,1.51,USD,19/08/2025,p389
t0528,cust044,271.28,USD,31/08/2025,p438
t0529,cust490,493.43,USD,23/08/2025,p449
t0532,cust436,1212.2,USD,12/08/2025,p466
t0534,cust415,251.51,USD,29/08/2025,p749
t0535,cust016,143.72,USD,25/08/2025,p245
t0536,cust186,142.94,USD,27/08/2025,p343
t0537,cust347,597.02,USD,16/08/2025,p313
t0539,cust267,294.2,USD,27/08/2025,p590
t0540,cust278,224.96,USD,20/08/2025,p168
t0541,cust131,320.42,USD,04/08/2025,p383
t0542,cust343,43.9,USD,17/08/2025,p229
t0544,cust037,421.84,USD,15/09/2025,p568
t0545,cust033,256.46,USD,16/08/2025,p121
t0546,cust186,44.13,USD,01/09/2025,p405
t0547,cust022,305.14,USD,27/08/2025,p274
t0548,cust043,255.27,USD,20/08/2025,p193
t0549,cust370,31.74,USD,09/09/2025,p121
t0550,cust165,469.58,USD,14/08/2025,p614
t0551,cust404,247.6,USD,09/09/2025,p663
t0552,cust152,270.03,USD,07/09/2025,p362
t0553,cust462,374.94,USD,22/08/2025,p474
t0554,cust122,444.4,USD,20/09/2025,p400
t0555,cust328,427.89,USD,19/08/2025,p394
t0556,cust074,7.1,USD,23/08/2025,p118
t0557,cust030,150.9,USD,08/08/2025,p799
t0558,cust047,458.88,USD,13/09/2025,p810
t0559,cust204,144.45,USD,01/08/2025,p815
t0560,cust029,321.45,USD,05/09/2025,p656
t0561,cust126,460.57,USD,07/09/2025,p626
t0562,cust388,7.6,USD,15/08/2025,p170
t0565,cust107,252.28,USD,10/09/2025,p890
t0566,cust332,13.71,USD,02/09/2025,p535
t0567,cust460,355.35,USD,06/08/2025,p786
t0568,cust349,269.62,USD,09/09/2025,p363
t0570,cust410,496.71,USD,06/08/2025,p262
t0572,cust389,312.49,USD,24/08/2025,p428
t0573,cust071,169.62,USD,23/08/2025,p550
t0574,cust260,417.31,USD,12/09/2025,p225
t0575,cust273,161.36,USD,15/09/2025,p689
t0577,cust016,68.61,USD,13/09/2025,p785
t0578,cust020,328.14,USD,12/08/2025,p220
t0579,cust095,350.28,USD,25/08/2025,p234
t0580,cust379,493.3,USD,05/09/2025,p571
t0581,cust496,85.69,USD,15/09/2025,p624
t0582,cust384,330.12,USD,03/08/2025,p419
t0583,cust075,369.18,USD,05/09/2025,p478
t0585,cust305,37.74,USD,23/08/2025,p522
t0586,cust127,201.59,USD,21/08/2025,p645
t0587,cust025,86.09,USD,25/08/2025,p386
t0588,cust488,212.89,USD,12/09/2025,p571
t0589,cust113,181.61,USD,22/09/2025,p279
t0590,cust334,288.51,USD,02/09/2025,p589
t0591,cust175,455.97,USD,12/09/2025,p292
t0592,cust465,432.12,USD,19/08/2025,p329
t0594,cust097,203.56,USD,12/09/2025,p821
t0595,cust213,74.14,USD,12/09/2025,p240
t0596,cust157,283.78,USD,28/08/2025,p147
t0597,cust073,282.1,USD,27/08/2025,p213
t0598,cust172,94.81,USD,06/09/2025,p504
t0599,cust358,346.41,USD,25/08/2025,p757
t0600,cust071,15.33,USD,30/08/2025,p672
t0601,cust031,110.52,USD,14/08/2025,p786
t0602,cust130,152.62,USD,10/09/2025,p900
t0603,cust336,217.25,USD,24/09/2025,p343
t0604,cust293,268.97,USD,06/09/2025,p525
t0606,cust040,2.31,USD,31/08/2025,p417
t0607,cust127,45.68,USD,31/08/2025,p318
t0608,cust376,367.39,USD,19/08/2025,p609
t0609,cust195,71.22,USD,14/09/2025,p707
t0611,cust053,298.31,USD,03/09/2025,p166
t0612,cust277,7.55,USD,06/08/2025,p608
t0613,cust389,433.66,USD,17/08/2025,p141
t0615,cust315,445.87,USD,24/08/2025,p701
t0616,cust027,13.41,USD,07/08/2025,p508
t0618,cust485,391.97,USD,22/08/2025,p161
t0620,cust260,353.42,USD,19/09/2025,p769
t0621,cust050,224.33,USD,17/09/2025,p633
t0623,cust044,256.11,USD,29/08/2025,p694
t0624,cust326,485.09,USD,02/09/2025,p850
t0625,cust087,43.08,USD,25/08/2025,p354
t0627,cust121,118.78,USD,21/08/2025,p806
t0628,cust133,356.06,USD,12/08/2025,p623
t0629,cust373,189.96,USD,13/09/2025,p612
